Termino,Ventana_de_contexto
profesión liberal,"Es un experto en lingüstica jurdica. Desde el conjunto de información semana para el term ""liberal profesión"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del term, con el objetivo de facilitar su enlace con otros conceptos."
administración local,Administración pblica y administración pblica | consejo comarcal; administración comarcal; ayuntamiento; corporación local; diputación provincial; municipal administration; cabildo insular; régimen local; administración local; administración provincial | administración pblica
poder adquisitivo,Ayuda adquisitivo es el trabajo de adquisitivo en el trabajo de adquisitivo en el trabajo de adquisitivo en el trabajo de adquisitivo en el trabajo de adquisitivo en el trabajo de adquisitivo en el trabajo de adquisitivo en
contrato público,Trade policy | presentation of offers; concesión of services; suministros contrato; licitación; servicios contrato; directa contratación; work contract; administrative contract adjudicación
transferencia de derechos de pensión,Social protection | pension plan
indemnización,"Es un experto en lingüstica jurdica. Desde el conjunto de información similitántica para el término ""indemnización"", sintetiza una ventana de contexto de máximo 100 palabras que claramente expliquen el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
movimientos de opinión,Poltica y social security | corrientes de opinión; movimientos polticos y sociales | pacifismo; sociedad civil (movimientos de opinión); movimiento ecologista; militarismo; movimiento pro derechos humanos; movimiento juvenil; no violencia; movimiento antiglobalización; movimiento patriótico; movimiento association; movimiento autonomista; disidencia; movimiento contra
movimiento social,
categoría profesional,"Ayudante colaborador en lingüstica legal. Eres un experto en lingüstica jurdica. Con el conjunto de información similitántica para el término ""categora profesional"", sintetiza una ventana de contexto de máximo 100 palabras que claramente explique el significado y uso del término, con el objetivo de facilitar su enlace con otros conceptos."
trabajo atípico,Work | Structure of work | Partial work; State work; Domestic work; Domestic work; Temporal work; Temporal work
política de la vivienda,Urbanismo and construcción | construcción of viviendas | improvement of vivienda; assignación of vivienda; need for vivienda
tercera edad,Demografa and población | persona of advanced age; vejez; viejo; anciano | distribution by edades
publicidad abusiva,Competency | False publicidad; False publicidad; False publicidad; Disloyalty | Restricción of Competency
Derecho civil,Abuso de derecho civil | Common law | Power abuse | Obligaciones | Statuto legal; Contract; Responsibility; Abuso de derecho
